Listing_ID;Layout;Condition;Floor_Space;Price;Fees;Refundable_security_deposit;Town;Metropolitan_district;Street;Ownership_Type;Building_Type;PENB;Furnishing_and_Fittings;Floor;Balcony;Terrace;Cellar;Loggia;Parking;Lift;Garage;New_building;Available_from;Heating;Total_number_of_floors;Renovation;Design;Age
535480;2 bedroom;Excellent;53 m²;CZK 10,990;CZK 4,990;CZK 10,990;Prague;Letňany;Šumperská;Personal;Brick building;B;Partially furnished;4;Yes;No;Yes;No;No;Yes;No;;ihned;District heating;;;;
689872;1 bedroom with open-plan kitchen;Excellent;41 m²;CZK 14,500;CZK 1,700;CZK 32,400;Prague;Vršovice;Bulharská;Personal;Brick building;G;Partially furnished;2;No;No;No;No;No;No;No;;01. 02. 2022;;;;;
653575;2 bedroom;Excellent;55 m²;CZK 15,500;CZK 1,500;CZK 20,000;Prague;Žižkov;Žerotínova;Personal;Brick building;A;Partially furnished;5;No;No;Yes;No;No;Yes;No;;01. 01. 2022;Gas boiler;Middle floor;;;
629735;1 bedroom with open-plan kitchen;Excellent;43 m²;CZK 13,500;CZK 3,577;CZK 27,000;Prague;Stodůlky;Bronzová;Personal;Prefab concrete building;G;Partially furnished;9;No;No;No;No;No;Yes;No;;01. 03. 2021;District heating;Middle floor;Overall;Standard materials and solutions;
693829;1 bedroom with open-plan kitchen;Excellent;41 m²;CZK 12,000;CZK 1,000;CZK 24,000;Prague;Nusle;Táborská;Personal;Brick building;G;Partially furnished;2;No;No;Yes;No;No;No;No;;05. 12. 2021;;;;Standard materials and solutions;
558094;2 bedroom with open-plan kitchen;Excellent;100 m²;CZK 14,500;CZK 3,000;CZK 29,000;Středočeský Region;;Nové Strašecí;Personal;Brick building;B;Partially furnished;1;No;Yes;Yes;No;No;No;No;Yes;08. 11. 2021;Gas boiler;Ground floor;Overall;Premium materials and solutions;1 to 10 years years;50 m²
693073;3 bedroom;Good;70 m²;CZK 13,000;CZK 4,000;CZK 13,000;Prague;Troja;Lešenská;Personal;Prefab concrete building;G;Partially furnished;7;No;No;Yes;Yes;No;Yes;No;;01. 12. 2021;District heating;Top floor;;Standard materials and solutions;30 to 50 years years
693827;Studio;Excellent;24 m²;CZK 8,100;CZK 1,900;CZK 10,000;Prague;Záběhlice;Jabloňová;Personal;Brick building;C;Furnished;1;No;No;Yes;No;No;No;No;;01. 01. 2022;;;;;
693826;3 bedroom;Good;82 m²;CZK 10,000;CZK 3,500;CZK 20,000;Vejprty;Ústecký Region;Na příkopech;Personal;Brick building;G;Unfurnished;2;No;No;No;No;No;No;No;;13. 12. 2021;;;;;
446081;Studio;;42 m²;CZK 15,490;CZK 3,000;CZK 30,000;Prague;Smíchov;Tomkova;Personal;Brick building;;Furnished;1;Yes;No;No;No;No;Yes;No;;01. 02. 2022;;;;;
692105;3 bedroom;Excellent;86 m²;CZK 20,000;CZK 1,400;CZK 40,000;Prague;Žižkov;Rokycanova;Personal;Brick building;G;Partially furnished;4;No;No;No;No;No;No;No;;01. 12. 2021;Gas boiler;;;Standard materials and solutions;1 to 10 years years
691161;1 bedroom with open-plan kitchen;Excellent;57 m²;CZK 17,150;CZK 2,950;CZK 34,000;Prague;Nusle;Táborská;Personal;Brick building;G;Furnished;1;No;No;Yes;No;Yes;No;No;;01. 12. 2021;Electric boiler;Raised ground floor;Overall;Standard materials and solutions;over 50 years years
693821;3 bedroom;Excellent;62 m²;CZK 17,500;CZK 2,421;CZK 19,921;Prague;Nusle;Maroldova;Personal;Brick building;D;Partially furnished;6;Yes;No;Yes;No;No;Yes;No;;01. 12. 2021;District heating;Middle floor;Overall;;30 to 50 years years
693824;1 bedroom;Excellent;35 m²;CZK 6,850;;CZK 13,700;Frýdek-Místek;Frýdek;Bruzovská;Personal;Prefab concrete building;D;;2;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693823;1 bedroom with open-plan kitchen;Excellent;48 m²;CZK 7,900;;CZK 15,800;Ostrava;Michálkovice;Boháčova;Personal;Brick building;G;;3;Yes;No;Yes;No;Yes;No;No;;;;;;;;CZK 6,000
693822;2 bedroom;Good;54 m²;CZK 8,200;;CZK 16,400;Moravská Ostrava;Moravskoslezský Region;Na Široké;Personal;Brick building;D;;4;No;No;Yes;No;Yes;No;No;;;;;;;;CZK 5,000
230586;2 bedroom;Excellent;70 m²;CZK 13,000;CZK 3,500;CZK 12,999;Brno;Ponava;Botanická;Personal;Brick building;;Furnished;2;Yes;No;No;No;No;No;No;;27. 11. 2021;District heating;Middle floor;Exterior;Standard materials and solutions;10 to 30 years years
